RegionName,StateName,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10
"Aberdeen, SD",SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aberdeen, WA",WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005337050332766529,0.0051709448787923265,0.005387267111607642,0.005297068421335147,0.005382974287384607,0.0053681388803652,0.005483441108013522
"Abilene, TX",TX,0.007655879838077846,0.007649240842423241,0.007727780157396114,0.007771359535031589,0.007763913516563073,0.00764515415834972,0.007549718798006469,0.007443591815127507,0.0074351021710092145,0.007435802367277182,0.00745800563412354,0.007460796259895212,0.007429977705897317,0.007462305046000981,0.00741466218369104,0.007433529262702398,0.0073852160361312655,0.007335661690839464,0.007287625382074507,0.007257431044677155,0.007251912642647388,0.007206108639080368,0.007199529844667687,0.007268900978683705,0.0073837936040694096,0.007454647977543522,0.007525589209106981,0.007557895396881744,0.007559137186900836,0.007491973607491696,0.007396049706035636,0.007356835040745326,0.0073251240667634035,0.007356602458275981,0.007358266362866932,0.007385724088941565,0.007336809840256911,0.007331343976363704,0.0073094729012847,0.007340918205723426,0.007314332825037312,0.007266190050583943,0.007190322124417992,0.007125953700514722,0.007120328668088699,0.007186253117673163,0.007228040538201929,0.007244037139174706,0.007260268006426292,0.007269016247134404,0.007342530194072467,0.007351114726523577,0.007372451649374466,0.0073562122867565595,0.00735284181738685,0.0074034564739798485,0.007376673079884222,0.007400960748420203,0.007337464255373865,0.007369863717652421,0.007349430027302962,0.007379154320008678,0.007342517779223028,0.007396228199945551,0.0074052641756929246,0.0074295668704385965,0.007310192319056304,0.007249693211029835,0.0071989044859919315,0.0072101817986230275,0.007221991623788117,0.0072037163812656065,0.007203593908502726,0.007154245446283078,0.007113409746660402,0.007032796293027274,0.00704938347491737,0.007125339138481278,0.007266148085552272,0.007297935067633253,0.007286528629407172,0.007118592135552595,0.006993460295230401,0.006857817692934808,0.0068272668304729224,0.006832462945386115,0.006859722010997996,0.006914442644952923,0.00691307485169114,0.007004061529741053,0.007037343393301713,0.007044512901607596,0.007022480609265281,0.007041321467160506,0.007123610823040332,0.007180803897373623,0.007183935764217525,0.007238634137627596,0.007148959113117244,0.007183746221239415,0.007122102217001105,0.0071449618820297826,0.007158907691008189,0.007175561963464764,0.007154542481712516,0.0070996066436388285,0.007108342840024641,0.007088589339659601,0.007150164772789527,0.007251569471015253,0.007293013613605248,0.007317377971076937,0.007303082082388789,0.007436321080198337,0.007417374105231903,0.00744941856995957
"Ada, OK",OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007022075948146317,0.006941189818623633,0.007062813218250085,0.007241046266628962,0.007369316428902531,0.007379598754079972
"Adrian, MI",MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Akron, OH",OH,0.006384371211218872,0.00650141881687535,0.006484391723012294,0.006516889944143015,0.006445626589039607,0.006471181355766687,0.006375717885384489,0.006350390259900735,0.006297619271783024,0.00634780772568074,0.006300422488957168,0.006256624423999451,0.006189075597250056,0.006213971332346663,0.006246267615210539,0.00631897189468111,0.006305019356687402,0.006285712240548752,0.006233610886882977,0.006236888536569534,0.006214269967967324,0.0061709638575693036,0.0061293800955275765,0.006128655582862287,0.0061716325409988965,0.006192537837110572,0.006231191243642875,0.006216473571371869,0.006208181561380046,0.0061320842175525405,0.00609361948348067,0.006063749867785659,0.006021413804279759,0.00598314824828453,0.005960797946182589,0.005992544536626811,0.006005119584756486,0.005977256237332151,0.005926880889107951,0.005932041056670929,0.0059232988093250016,0.00591460435670068,0.005868997910323973,0.005834159425325798,0.0058102344086945175,0.005804197046290056,0.005816203113117977,0.005793751981529194,0.00582987277342461,0.005831889841003417,0.005867065462798274,0.005848048784945788,0.005835347965511962,0.005864194747134627,0.005804807550076317,0.005802595359203088,0.005741914494280729,0.005748354657165516,0.005722710291028403,0.005726122009664964,0.005771933236323398,0.0058189218855231074,0.0058391629551788286,0.0058337499920201865,0.0058488721987537545,0.005845179684385938,0.005769329815539451,0.005698421805287659,0.005627050261372465,0.00560050544918457,0.005581628799420431,0.005578582170559242,0.005564379863172661,0.005531279105994815,0.005556386368716228,0.005549657403029833,0.005561799746154751,0.0055936337159639225,0.0056613091611428445,0.005763504804518999,0.0057962258862392,0.005804288188647117,0.005709008408260432,0.00566250674637925,0.00564128682671365,0.005699847468765961,0.0056829177865417085,0.005688252564902276,0.005700005421505295,0.005757545040258626,0.005814304732076132,0.005842141757634739,0.005808100121409057,0.005810192093683249,0.005837465699364099,0.0058525066002268,0.005907779734160423,0.0059093124944111335,0.005973413508014431,0.005959377130995695,0.005951435702385951,0.0059472893478792355,0.005953843426940627,0.005942671922209728,0.005932911457953473,0.005944886659916444,0.005967245894863461,0.005988920107641039,0.005887344090838351,0.005855046349961495,0.005811821193702852,0.005876486496874695,0.005912646329533789,0.005941599255245635,0.005947372378926298,0.005939485321813263
"Alamogordo, NM",NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007353803696494459,0.007377071061422305,0.007308935597092996,0.0073561049666096,0.007266702233402634,0.007129493986543836,0.006931806060301064,0.0067375304677125495
"Albany, GA",GA,,,,,,,,,,,,,,,,,,,,,,,0.007784213327180316,0.007741834186020036,0.007679259502628646,0.007783115527695883,0.00777785544757897,0.007863681567291936,0.0077855499245814575,0.007826719102308663,0.0077399948386422755,0.0077391658938346305,0.007733489560548102,0.007787129645315973,0.007706660007308357,0.007542577122922254,0.007454953267124574,0.007417321822004623,0.007428244086854874,0.007432232087012328,0.007429400751408831,0.007477175195663191,0.007490248106304214,0.007560586188858386,0.0075379445603787985,0.007549191041895727,0.007533494529725079,0.007563420747982205,0.007519960283099194,0.007502390637407731,0.007458297808282972,0.0074900535221144055,0.0075163444790578475,0.007523633818102383,0.007518660515879051,0.007461165735304733,0.007473671473582535,0.0074985593940841205,0.007522685378705637,0.007476135987621471,0.007420786783656454,0.007361039059284276,0.0074547803387282575,0.007483825777800179,0.007525330216387791,0.007608848216333854,0.00766463105603719,0.0076881830557103065,0.007397617494109367,0.007257866647560464,0.007233103819867197,0.007244703418738316,0.00733661080500698,0.007360200505859897,0.007464814856714121,0.007404276039249276,0.007420995435525818,0.007513734302889698,0.007362211703016073,0.007456394729884514,0.0074202529139413475,0.00759525695527969,0.00740791480601389,0.007290477815488865,0.007182052117823106,0.007230599095095828,0.007277014156070389,0.00730255481555513,0.007205128908991602,0.007173233328772811,0.007145761589268134,0.007142138513126147,0.007055796688197051,0.007001241501293677,0.007032313570519956,0.007068408055283319,0.007125468033651883,0.00703343594210269,0.007035827320920966,0.007061108383701945,0.007067756807877283,0.00711728033662249,0.007073719306558685,0.00715299185598534,0.007166124961602533,0.007182178643320078,0.007207351851562288,0.007163888854909721,0.007113196184771753,0.007023065203797975,0.007025662641449124,0.0070454105124711465,0.007024944387539304,0.0070695595537690345,0.007060761639509107,0.007105701673530908
"Albany, NY",NY,0.006594476269057955,0.006597516462414713,0.006585724272506322,0.006702853915882627,0.006731903043733475,0.006728955638834706,0.006620683867373865,0.006539908089856342,0.006508296058996732,0.0064994599065254606,0.006440600881866159,0.0064219036829709225,0.0064406491699261145,0.006509436758634392,0.006554805541182551,0.006588153977013354,0.00662327864374433,0.006655139625665672,0.006669203689735319,0.0064983190800993575,0.00643093040607142,0.006359444375374946,0.006435786950093515,0.006455439923116277,0.0064725823590894875,0.0065282683894146995,0.006602184740450346,0.006658681034774371,0.006653831898793265,0.006642313331238677,0.0065933010603218415,0.006477635123768283,0.00636893356061098,0.006386356541229964,0.006443862782175769,0.006491738751867389,0.0064945938992507736,0.0065799550285207745,0.0066292228664580725,0.006625192667575565,0.006512470873845192,0.006441017584432128,0.006407584662843071,0.006475904748710652,0.006475570834829844,0.006451388904266056,0.006409589906457485,0.006444503772540457,0.00637321793223466,0.0064085329429810454,0.006385538901055649,0.006581365758595659,0.0065533137364327705,0.0065194255537256805,0.006356873886193923,0.006302128275377501,0.0063438023431048665,0.006363500611808775,0.0063990800526874635,0.006352015498317079,0.006394918609205869,0.0064260957477331945,0.006459847355874379,0.006431359039294878,0.006422134072214554,0.0064588392297091285,0.006466433221522544,0.006500060943884392,0.006474838286528074,0.006451320617580306,0.0063707258992935735,0.00635189212746363,0.006320799288517983,0.0062271784774634185,0.006171632925794412,0.00616835721577589,0.0062920827244690655,0.0062737314962820435,0.0062885840153349675,0.0062398153386426765,0.006337598584541379,0.006359927571471899,0.006383628499499766,0.0063535733381795065,0.006286024335607314,0.006184081944153494,0.006140550986683138,0.006106567830674383,0.006208996172950605,0.006206867584764575,0.006230111849851735,0.00617914109215162,0.006182918894211736,0.006402205547266468,0.006497446005361164,0.0065343064961951025,0.006363697430404297,0.006243307314766632,0.006333699685027033,0.00632030660810837,0.00640867595968302,0.0062609538307858495,0.0063207563782984606,0.006285841988376481,0.006412730404363706,0.006345774170117291,0.006575951869313912,0.00650439880473231,0.006572622680291191,0.006370752545225637,0.0064518653245054965,0.006449227069851255,0.006447352827282385,0.006373258560041158,0.006286334750650412,0.006312424626425931
"Albany, OR",OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00470309632529733,0.0047279377817726,0.004651096020929051,0.004598102977497461,0.004603714635819185,0.004690389373060765,0.004775199202789924,0.004896611005344183,0.0049239312812929545,0.004858200505996438,0.004772936120798705,0.004928900450470325,0.004979845461444827,0.005076863428581981,0.005020297612058175,0.004959469531515684,0.00489691955009197,0.004950247791265102,0.0050399237686604625,0.005141968027656619,0.005093276361094559,0.005043058290212335,0.004983944114021271,0.0049360761990311424,0.004962671931324161,0.00494108786909794,0.004952681644789496,0.0049112912320768715,0.005018968704514065,0.005097151371900039,0.005210036726168175,0.005142610970643891
