RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31
102001,0,United States,country,,1263.4443175026047,1269.8950915526814,1278.4692366105226,1288.6474869853091,1298.178017279057,1306.9907372548118,1312.9400583502998,1316.3457242176405,1317.6347375793616,1317.588889916028,1318.0899252004901,1319.426883968762,1323.6028735407301,1329.1089067013993,1335.883730173192,1344.4363632657426,1353.4243637765305,1361.5295980964127,1366.0947900841566,1367.7374092487773,1366.8999965153448,1365.188542829063,1364.0958281437686,1364.2493075241812,1370.0599321719858,1379.831326284686,1393.1053709692126,1404.8343246074635,1415.1658484881482,1423.0117183621749,1427.8917499405493,1429.4123162355766,1430.6122328686774,1430.2070367638491,1431.2247102204508,1432.5953718632827,1437.6495498969045,1445.5859956692605,1456.6972198281262,1467.7435234088907,1477.1565981427104,1484.4905793320097,1489.1315707555743,1491.5560504479154,1491.7165163072693,1492.063809296419,1494.1689912625943,1497.2172094517107,1502.2619063064062,1509.7362230563383,1521.4040543184176,1533.1150304558978,1543.6812112728448,1551.2095514987705,1555.987647195719,1558.1336978546944,1558.6325918106804,1559.0224206531332,1560.1290290912968,1561.8766986461467,1567.7510051673373,1576.699174882995,1586.8761773057965,1592.5312673302237,1598.862141281328,1607.4191802682417,1620.9366058114967,1633.087111323744,1643.8013545018468,1652.256245180289,1659.119253318371,1666.707060593946,1678.0033893211266,1692.77384178774,1710.104300366447,1729.6571673120739,1753.3063466689696,1778.0301637984708,1801.6716218583065,1823.7647845908577,1842.266155750851,1857.057865167982,1868.4886383483426,1880.1476593302266,1894.1540944400783,1912.4438372818922,1932.5098989745516,1954.3646406533446,1973.125522937952,1992.2330849575683,2007.3274251514567,2019.6846652827664,2025.1725491716302,2028.5058298142937,2027.8131048480534,2031.671638811337,2036.6959867878709,2046.7726135330392,2059.450973876069,2074.3285101811957,2087.7260761424072,2098.188859749135,2107.9055236650324,2116.8594487606297,2122.388512892974,2123.4557468075877,2123.4792095353714,2126.0295243494816,2135.254699109024,2147.2224547645033,2162.917331108055,2175.7793426433927,2188.0862094513427,2197.2135571761464,2205.8250709552053,2211.841814415062,2214.6932658452465,2214.8267100291905
394913,1,"New York, NY",msa,NY,2172.3508128032236,2195.4488617119123,2211.9803617164143,2225.518206544359,2227.878842174515,2244.158650080117,2249.784555236374,2250.106962234833,2248.366770934674,2250.544708083699,2253.1266329978052,2259.2968476950027,2266.7034597626284,2278.6005453202615,2288.180845462774,2301.3843341378697,2311.3304207586934,2315.2059731697896,2318.0927031722326,2311.8252422436462,2309.781079005491,2307.754484776,2325.4110148645523,2332.4888294672755,2350.2365430353143,2360.7148905523686,2376.21764294352,2386.210441445993,2398.252880120126,2405.2125188289806,2410.660440186274,2405.3184226576577,2432.1045561186215,2440.3421718632,2436.8233336225276,2412.259617159159,2413.157550726819,2426.603309306446,2438.640447240774,2451.6483203797516,2466.392275817172,2478.5880790016085,2483.595136528412,2492.9647543528545,2494.2221316567534,2489.3536455127855,2487.242906995311,2486.06039113624,2489.8958725377593,2505.996601904095,2533.4793305350804,2555.094483954389,2566.662165693922,2573.5208529119986,2574.4628201835403,2564.2163961624965,2545.6532594509013,2555.455137211827,2561.984679465038,2586.834294824577,2588.39154991119,2601.7059843102998,2614.2963660421674,2634.7417902158227,2650.8679146391632,2662.4509199208705,2672.5873153161865,2682.213866642702,2690.012216703813,2678.369483068014,2700.2586836568566,2701.383497529828,2741.319585769358,2760.317819381544,2807.8758823383228,2840.7009877753235,2859.5837619557383,2876.8254626001676,2891.124883109131,2910.1533871594215,2910.694228388952,2925.7870102506376,2918.109708674488,2949.205662982288,2978.9098085809537,3046.5031481089377,3083.1443929553166,3114.862211305966,3130.395144535848,3152.8701465413233,3182.367807583149,3200.8019014232727,3208.4597615467983,3198.060780635166,3192.699435765295,3192.4766810024203,3197.27372978271,3231.6590628743897,3286.270649283541,3344.950321420437,3367.6323273966054,3368.8515140888157,3366.8438101876227,3372.031514896928,3368.1985675208466,3344.0719626484,3328.350494878547,3345.2408733414472,3389.252811753987,3423.3311460872155,3468.9567651901216,3479.4344714825856,3504.0687695133292,3512.967752143545,3535.9067078328158,3546.1006446608544,3518.3567029621386,3509.75020490912
753899,2,"Los Angeles, CA",msa,CA,2529.4515226004232,2543.786169819076,2562.465252253099,2573.300076958726,2597.3870562263746,2616.032336268874,2637.634665399864,2648.9066971887537,2658.8717199171815,2661.5350896883824,2654.9441442700545,2658.4124967851185,2672.2934689100407,2695.954160739179,2719.29448367349,2734.106608136233,2762.1750287310983,2776.7937160727433,2790.3178098479616,2788.9070859053127,2789.034873241425,2785.04975018682,2779.8335463766007,2779.092763819535,2798.4377175130307,2822.5594446854075,2856.101287174961,2881.070393493886,2906.2303632504672,2915.7382614094954,2924.882604970046,2923.7104024653904,2932.26095661829,2928.583997157166,2939.869646693732,2939.271747967198,2955.691454482108,2968.540643203438,2992.9905327914203,3012.9916630657676,3029.0581594242917,3044.1732873613314,3053.109683677762,3055.2873445923155,3057.7881377941662,3060.2762669309386,3076.895209226755,3083.0487093469246,3096.9332555473356,3099.9954029990718,3126.5335589139986,3139.642732957955,3165.932113838701,3172.2446215716436,3182.618946233523,3178.144773594291,3177.3899721244998,3178.4480761297978,3184.910951447096,3193.3391305885284,3207.1691911120947,3221.0612106725657,3226.8796894999527,3214.5686405043016,3214.7500730548777,3228.6398596321696,3262.8697108248493,3275.0815160456114,3288.47715612658,3297.3205480227543,3322.1862107359207,3333.3202400222167,3357.6662712363727,3377.4535188457476,3415.7284694280506,3434.909123909356,3464.2063337174573,3490.771548937049,3525.5713476451833,3569.7855210174525,3609.1904708666257,3637.011335343392,3659.3104936230234,3683.2714096418504,3722.814264123745,3766.387680234437,3813.4732588624943,3856.8361686236963,3891.1202000033045,3920.781388989362,3941.6482345271384,3952.9043151612295,3957.6750441434733,3965.535729316545,3970.8970944832295,3972.089974548006,3978.4966943015165,3985.282227857063,4010.4312409902545,4042.597773744562,4067.2905333713384,4098.219208499975,4115.157790346315,4141.827236946902,4132.8834225686605,4125.374389567663,4124.236267196469,4138.5546299901025,4166.947558938964,4183.689747739257,4203.755348047937,4220.144970735916,4240.531898116956,4259.751366278408,4276.789066281933,4281.189374195874,4284.4851925982775,4279.602358956283
394463,3,"Chicago, IL",msa,IL,1505.6270174904776,1511.7792722261818,1522.0739502337528,1534.7641566002271,1547.538132984437,1556.765532797334,1558.1842079030573,1557.713346166046,1553.0678583737244,1544.8327148210753,1541.3529236468414,1544.7770198901064,1551.5112418691074,1558.6566811970215,1568.7525582533017,1578.7842084215467,1586.5098880074513,1591.27675260406,1596.8119751241911,1602.005226613094,1596.4151575550434,1588.4804306198494,1578.5249839771927,1572.7790572718707,1580.174915701163,1590.123494150023,1607.6920090768529,1621.4886106395998,1635.612832343065,1641.3885243975894,1642.3969040858035,1639.5700723897965,1635.9436525060025,1626.467117958216,1622.388173773944,1619.0266811922718,1625.0226487439954,1633.0887321422906,1647.2205762994577,1662.1664786032131,1670.5379118920478,1676.659609103695,1678.283635471578,1679.3858133888882,1678.2416822023856,1672.7452014319626,1668.1348043725777,1663.6664132182582,1671.8153745119935,1677.083933175684,1691.2050651270085,1699.978222368694,1713.560741337139,1722.2151955263687,1726.4884488394796,1725.7057811072998,1723.371685769729,1719.5388223160023,1715.5264351258504,1711.1273652240704,1714.8635127698308,1726.617816136511,1740.1927375558741,1747.297557883524,1752.0878252026775,1758.238115403571,1766.5175505156076,1773.4575582641414,1771.523741844049,1766.9406408295292,1762.2059308686962,1767.3091689829973,1778.379873610679,1795.0735407341326,1810.1463603154755,1828.352342219325,1847.2398144423516,1869.8386877918872,1887.7904467276676,1903.1585600916521,1918.7203928774757,1927.7590151072477,1934.819725196251,1941.2315299925087,1950.3130101168672,1959.1518208917055,1978.3811627938007,2001.7156653718423,2028.967306710409,2045.8679776466317,2063.1948159153326,2076.942400129927,2080.145722407047,2082.665934293559,2075.632924031858,2088.0836930846244,2095.12762477721,2112.230280914692,2120.94103553708,2142.502771237968,2162.5332961664085,2184.172866453581,2197.2356579146167,2211.2707075692447,2220.444479565024,2224.3237705542647,2225.339314191051,2236.0413715096697,2244.1177975302335,2256.354170100155,2266.294085475715,2295.2461038520546,2318.130387928596,2333.454843558628,2343.0940465646236,2354.724901422836,2360.1330932473497,2366.4016980338297
394514,4,"Dallas, TX",msa,TX,1370.989564400123,1379.4174843844085,1389.0012217523285,1403.5961653507122,1416.3460068091563,1427.1865913450954,1435.2734971578616,1438.956655396552,1439.6772874805208,1439.1775722973787,1439.121741982794,1440.9291796934742,1443.6509274560592,1452.3991187708857,1463.4640447005477,1476.2621175265303,1487.3864084574766,1496.1930510080808,1502.5109795497297,1505.1898574116676,1505.5645240395957,1502.693367481813,1500.1268509080367,1499.058211299192,1507.1279678634944,1516.9774940791256,1532.1512733236598,1544.7104080223776,1558.2570324273038,1565.484315049721,1570.7396501345904,1573.131887007592,1572.9628441283844,1572.1387219903768,1571.33960906154,1575.6484995650628,1580.7240577547168,1588.808173024728,1595.6325377057108,1607.7893454584855,1615.7038303041456,1625.6494383123218,1626.2680615200522,1629.5067177068934,1630.045634082938,1630.7051979880391,1628.6750118074372,1630.106366726932,1636.1462357155558,1644.3906765349464,1654.8732385623023,1665.7146186707728,1678.3145920193808,1683.815751748013,1686.0905503787467,1686.369535354552,1685.9116606657872,1687.2647693258625,1688.4889719086943,1687.0072039916463,1691.1719668820724,1697.0432339770864,1709.3141524432428,1712.2364255398074,1718.264928971779,1726.754171563708,1739.6926792099327,1750.245180958559,1758.8056544939348,1770.2556302628873,1779.2753932775574,1789.352016507444,1803.0793408639288,1817.147217416589,1836.168345515899,1855.4555308437366,1885.2293952905368,1914.287621383803,1943.6178806235782,1969.1908001035415,1991.8945281388199,2012.6213554859278,2025.0770406256597,2034.585668196554,2044.682253399476,2062.0726287549846,2082.891946251263,2106.9260495316803,2131.0043160463524,2157.332697582803,2175.0216656936605,2186.0208434235133,2190.0517682182144,2195.2934054670827,2199.7998046842254,2203.607508066302,2205.5246881384564,2209.9902218726465,2220.772573068159,2231.6027885508656,2246.2024411766797,2259.4347577380163,2271.181931208962,2276.5589172836276,2274.5099767187635,2266.6766460485483,2269.906083826679,2270.8184993107056,2280.8979668379,2285.831608850815,2304.134513753675,2317.396859293648,2324.499355716009,2328.954287051351,2333.3013548225817,2336.420732639398,2335.0937728755816,2328.9290805012565
394692,5,"Houston, TX",msa,TX,1492.7971459773532,1498.2466208915919,1505.9092950892316,1517.078518487149,1528.49278596616,1538.965847835216,1541.5729158797183,1541.820917109111,1537.3361539676848,1533.645855115392,1529.9042395536203,1525.2519390462094,1526.628311084787,1527.1412418915477,1532.896076793069,1535.0817041011762,1539.0312835684877,1543.1659409471283,1543.1626053411467,1540.8106450311325,1533.06678506324,1526.0608288425624,1517.9480911386092,1513.3146414113187,1516.1299570798362,1526.3716400510334,1538.3568225403317,1547.5377162293967,1554.7552657378835,1559.5569072401931,1560.7609925942415,1559.318624848813,1565.9069006336276,1572.7242645985955,1578.3435005335448,1577.6989845754085,1582.3605646383933,1588.073472352768,1593.7771117353598,1597.5306771644996,1603.6390532503867,1610.8514389758425,1610.7397914246974,1610.2631580575035,1606.9153155711983,1605.7317245620065,1601.6495795588942,1600.035638460676,1602.8234422729884,1609.8169559155835,1619.8382660490822,1630.9536961070207,1640.9598885943421,1647.0928267290888,1648.1731575349284,1645.7668740127913,1644.0590932438533,1643.4071667009118,1643.1598509000414,1643.1139660657375,1646.7340231617968,1652.7319644305019,1660.5831578174946,1661.8716427147733,1665.9993028310537,1668.8196984754497,1679.7880930489382,1690.1790698162192,1699.4922974322028,1706.0394509619687,1709.1319889839,1715.8800025038051,1729.042768660125,1743.8013965123591,1757.8596408242192,1770.9853183084938,1791.9925207504527,1812.9758934684953,1824.546057426785,1837.3783640583677,1847.3914090138212,1866.6465126621176,1872.575769496658,1882.1994779758,1889.829990353626,1904.9178773880926,1915.9499424568164,1929.2046100323048,1941.8801718174852,1961.939733896131,1974.6754285831573,1986.0781582640004,1987.2638004150217,1994.7345105331515,1989.6892264496307,1992.345764842696,1991.4511133708393,2004.281241330186,2015.6329997119885,2025.9935499612614,2037.7442125651437,2050.350847635965,2065.171221601223,2071.104976424673,2072.0541185933753,2066.5167268438663,2062.9975657193295,2062.618974195297,2068.538635724103,2081.8225253128508,2092.2985625217234,2104.1511027232605,2111.464304576226,2121.0156676200145,2126.9464698282227,2132.802904975987,2134.5360039673515,2135.5780012152136
395209,6,"Washington, DC",msa,VA,2076.4846810284607,2092.4218564439407,2109.8220759709534,2120.9953318099942,2129.1435909312577,2138.4144605705033,2142.5971014631045,2140.121769911816,2137.3270183793575,2129.9677729288337,2129.334850625379,2124.2861664269,2131.5903187777703,2139.597758935297,2151.2009370830033,2159.4330563846515,2171.066097901113,2179.1702392026855,2186.483982259503,2186.782092812995,2179.695213661125,2172.610621555916,2164.0907312370555,2161.8445597147306,2167.797606641183,2181.828270398759,2202.624632869089,2217.078568717667,2227.846402547985,2234.2811286658325,2239.565761706971,2236.9582025168843,2235.862861354473,2225.6496468324813,2223.731629248344,2223.6951843925053,2230.396882590034,2239.0925558066656,2252.227391988799,2268.4385446004103,2280.8141923777707,2288.5855417902003,2292.8516067155733,2293.605696739964,2288.553741026638,2281.882714200497,2283.385711731717,2283.7659149889255,2288.0986600274773,2296.8383691161825,2315.563891740961,2334.564540310601,2347.1728410499336,2355.259577639233,2357.367304033956,2359.448380618619,2359.230472639561,2356.4762788882676,2350.8523080377413,2343.320610144025,2351.667318697443,2362.573136722056,2383.940273010451,2393.2901106188738,2404.403309161384,2409.405402364741,2419.0238971507115,2427.584150460223,2434.8601025655944,2432.8655298298463,2430.769844321497,2429.5422072805495,2443.4364392890316,2453.30560421898,2472.6154654584807,2492.6974122564557,2522.9532810218593,2547.4504755964144,2567.136179888343,2582.1843751063047,2592.805997768557,2606.9288353306456,2612.2778134489527,2615.8714856925467,2620.6763076927027,2641.9876469731935,2669.1702677436674,2703.657997611998,2726.152939875353,2750.5340879701607,2763.8026338438144,2775.276664393525,2781.2546199630306,2781.6556325767815,2784.116032326946,2792.1531833004087,2800.536468494365,2813.987620372399,2826.0995228109136,2844.2746858067467,2866.9204637024045,2891.1168056894508,2914.808006004863,2930.5620410295537,2937.2872774600355,2939.599422043804,2945.291006605728,2942.503862967009,2946.429567052992,2953.644000853623,2981.607311154455,3011.213447679,3031.457888274896,3059.5727407782647,3076.1244816814647,3092.128250443605,3083.974595395968,3074.61816879978
394974,7,"Philadelphia, PA",msa,PA,1330.5096672721252,1339.065501639201,1350.42428159207,1358.4885586546318,1362.3665895194838,1364.5443049637993,1367.523831369541,1369.309932336371,1370.9386053050544,1371.5485758063703,1366.1009025551937,1365.066457753116,1366.0725537344738,1375.2647681214296,1383.8614756950255,1392.4899861797946,1398.952188256725,1405.4512327485284,1407.548365491546,1408.2772225639012,1405.1117199798719,1402.898891510256,1405.9465081410701,1408.3005225585005,1415.7434295069368,1422.3566587956602,1434.4168759758752,1442.498383182336,1448.3512546452737,1448.2500317597276,1450.2715258118055,1452.5669282363776,1455.8378195285118,1457.5578606312968,1457.2905942885313,1459.3750350722005,1459.8982607990108,1466.9491307435023,1478.8507903782854,1491.750475192532,1502.2091432833643,1505.3833794174348,1504.329405408881,1501.8091135675224,1504.2739518776145,1510.0533383640823,1514.8929392428047,1514.140764687724,1517.2589120375842,1524.5338121562554,1534.760002375664,1544.551693043935,1552.277482663147,1560.2680838267604,1563.2604834685599,1563.462760242461,1563.0898407714437,1566.7665014369513,1569.0648711336194,1574.4564770177092,1577.6565747786976,1587.3195086498836,1595.0088970952397,1600.0430779963285,1604.4132961695143,1610.1340974172008,1622.5213871604692,1630.5611574120462,1641.2701542512493,1645.794892176898,1653.8255749559185,1660.4287367692798,1671.6741674675675,1684.0003559385466,1691.9805831079943,1707.3921693340217,1723.889043700186,1741.589760231966,1754.8911748949467,1768.9662947542254,1769.8945635426123,1784.1867558085426,1797.1463146307633,1823.6023760996711,1835.2623559260373,1844.5672404586112,1856.1680284300635,1868.467179920549,1881.9185233701226,1899.7264856148595,1914.8207906433474,1929.0386543097952,1935.0869315026587,1937.7272117022321,1942.6812455753554,1940.7193048969298,1947.1045786754364,1955.9084679166854,1973.0624664336478,1985.181714526751,1992.1602425429564,1999.7794674226336,2008.326685293067,2017.6638285498007,2033.5092055994176,2051.500275029963,2065.0557878227564,2064.0515482335427,2069.1113388130298,2076.7844755046335,2089.4664187297294,2095.3823732743585,2104.0289662898635,2110.3420946900446,2116.8895582979917,2124.27449646171,2137.669306123589,2153.7256769491237
394856,8,"Miami, FL",msa,FL,1745.313996929606,1750.6889814231013,1761.486603320359,1771.6169915087744,1779.7531082013095,1787.2608102045556,1799.8045900449306,1808.873284405614,1822.9402056728197,1829.4363816318198,1842.0006420200732,1845.7529840794314,1854.4124540610012,1852.289513464404,1858.2950140586163,1858.4489503186542,1868.0363406441027,1867.8423175395733,1874.1676622571947,1877.0132384130798,1885.3242718223255,1889.277398237256,1896.0716860435414,1895.8635756618303,1901.2715085595219,1909.3513919890945,1922.321749417146,1928.639276559996,1930.667444220114,1937.1273099336913,1947.2907681328402,1957.816083886094,1963.7645256404994,1969.5817566846895,1972.8361297903214,1977.0157921635664,1981.060017311993,1988.3116779501122,1995.91310062225,2004.9206075035847,2010.740605206047,2014.5082634268465,2020.4567234539975,2028.3412102399216,2036.0660162606678,2042.3492103130768,2049.4872441786038,2051.357926093956,2052.6080098153457,2055.4411804692904,2068.405002449875,2077.3061222035117,2083.8111468806046,2089.774462698529,2094.648928674638,2100.640233048654,2109.0291834336626,2122.2012224276,2135.5448871156514,2139.685931027829,2138.1788270864213,2145.556956014689,2148.398048792343,2151.9279864855134,2148.0298476960347,2162.7466987562498,2182.8677123124644,2202.694843318987,2224.1917576168007,2260.500953052363,2295.9559739907886,2322.136302267813,2329.1336726085474,2346.087659534882,2357.302764113256,2385.6295173263625,2423.774599374074,2482.0440988445002,2550.991924548559,2608.8620757523668,2679.201822323442,2723.7890692608657,2792.884372363104,2840.4431956803196,2904.055033026341,2939.848334202565,2987.321933575904,3040.823556709479,3104.8362977223082,3160.9147678783825,3196.6409500559234,3223.4109040449325,3227.5269115176147,3238.479188646919,3244.9014218568173,3252.0727530643208,3244.3068486074267,3232.2080379812155,3235.285787319823,3257.4618906767146,3282.3943217616493,3313.1695137475963,3323.9887299568372,3341.164421488656,3353.821321694032,3373.760827667221,3387.406300914963,3372.626969706739,3366.4169881712232,3361.874704937146,3390.9027354068785,3409.62669860789,3426.435747265484,3426.4287644723217,3438.7920482743384,3450.733875684732,3462.016756099104,3456.8417797007096
394347,9,"Atlanta, GA",msa,GA,1110.0852528718935,1115.8977332452123,1118.9454402052436,1129.143527571357,1137.69231163138,1150.3487399213757,1157.248246597429,1159.9611737981668,1159.341695469152,1159.1566396501473,1158.6054537826071,1161.8073484572342,1167.4326726960203,1177.1941399949546,1184.4508735526442,1192.0842219525616,1200.8127332262238,1211.3064221538093,1220.1171300266267,1224.4069104941036,1223.4504999848436,1222.2414149876474,1221.4702591936239,1224.2339317203364,1229.289976939833,1238.1053376765533,1250.5175922203641,1263.6217078155944,1276.5122154063959,1287.1743312655146,1296.5335962984732,1299.6823117065376,1301.855661427256,1298.4018111499247,1302.6498230394468,1304.21581270361,1312.1099901857822,1318.2953792188016,1331.8835238587965,1344.3874958078604,1356.9207681633222,1363.7173512363036,1368.434373910506,1370.0640994375567,1371.8960166597954,1376.064536766484,1381.0173569652584,1385.6034606248072,1391.3275525967586,1399.6183649952259,1412.4172050621196,1425.3966569549075,1436.4021692475512,1447.0469739643324,1452.6661951499048,1456.118356564409,1457.04169181705,1458.7030882132758,1461.5682019885264,1463.85226853857,1469.4585791061716,1478.968912856963,1491.7632956657612,1502.4005767213646,1513.7955876225028,1526.893762651926,1542.8352188781682,1559.6129189497615,1575.005861214758,1589.178191091673,1600.655142274399,1611.8489584023323,1627.0537504335655,1648.5575858380726,1672.2291616915966,1699.563435819042,1725.2839650992596,1754.759553861972,1781.486495145633,1813.6132288219594,1839.135492338412,1863.3710053862508,1875.681591215153,1883.9409412454957,1890.9465040453329,1901.803774907045,1917.99344464142,1932.558846156786,1950.8118794432967,1973.2460058220565,2000.1668194348458,2019.7100532057912,2030.7453272021505,2035.1281022341977,2034.8877624602248,2046.1411401873465,2048.624321224195,2057.5597667310844,2060.4841821213645,2068.4896665665683,2075.3534657678356,2079.0977740839267,2088.2821967088303,2096.10256322306,2100.0823185652457,2090.895398311256,2082.6121870634756,2084.438349179304,2107.854885446469,2131.221488283047,2146.650784980453,2149.8506342331207,2153.1971170822385,2165.6677664890835,2177.0211652445455,2187.5328797350635,2187.108270212652,2186.782227273351
